Rank,Title,Year,Age_Rating,Genre,Director,Average_Rating,Similarity_Score
363,miss congeniality,2000,pg-13,comedy,donald petrie,5.3,71.57
364,inside out,2015,pg,comedy,"pete docter, ronnie del carmen",8.8,71.57
365,shazam,2019,pg-13,comedy,david f. sandberg,7.525,71.57
366,resident evil extinction,2007,r,science fiction,russell mulcahy,4.75,71.57
367,waynes world 2,1993,pg-13,music,stephen surjik,6.1,71.56
368,the lego batman movie,2017,pg,action,chris mckay,7.725,71.56
369,identity thief,2013,r,crime,seth gordon,4.275,71.56
370,entrapment,1999,pg-13,mystery,jon amiel,5.475,71.56
371,the men who stare at goats,2009,r,war,grant heslov,5.675,71.55
372,hide and seek,2005,r,horror,john polson,4.225,71.55
373,stargate,1994,pg-13,science fiction,roland emmerich,5.875,71.55
374,knowing,2009,pg-13,mystery,alex proyas,5.0,71.55
375,beetlejuice,1988,pg,fantasy,tim burton,7.550000000000001,71.55
376,american gangster,2007,r,drama,ridley scott,7.775,71.55
377,alien covenant,2017,r,thriller,ridley scott,6.4,71.55
378,sky captain and the world of tomorrow,2004,pg,mystery,kerry conran,6.375,71.54
379,smurfs the lost village,2017,pg,comedy,kelly asbury,5.1,71.54
380,father of the bride,1991,pg,romance,charles shyer,6.3,71.54
381,i am number four,2011,pg-13,science fiction,d.j. caruso,4.775,71.54
382,the final destination,2009,r,horror,david r. ellis,4.125,71.54
383,harlem nights,1989,r,crime,eddie murphy,4.125,71.53
384,starsky  hutch,2004,pg-13,crime,todd phillips,5.925,71.53
385,a bugs life,1998,g,comedy,"john lasseter, andrew stanton",7.775,71.53
386,teenage mutant ninja turtles mutant mayhem,2023,pg,science fiction,"jeff rowe, kyler spears",7.825,71.53
387,star wars,1977,pg,action,george lucas,8.775,71.53
388,paddington,2014,pg,comedy,paul king,7.949999999999999,71.53
389,the bourne supremacy,2004,pg-13,drama,paul greengrass,7.625,71.53
390,deep blue sea,1999,r,science fiction,renny harlin,5.825,71.53
391,life as we know it,2010,pg-13,romance,greg berlanti,5.075,71.53
392,marley  me,2008,pg,comedy,david frankel,6.475,71.52
393,star trek generations,1994,pg,thriller,david carson,5.825,71.52
394,the mask of zorro,1998,pg-13,action,martin campbell,7.025,71.52
395,the forgotten,2004,pg-13,thriller,joseph ruben,4.775,71.52
396,signs,2002,pg-13,thriller,m. night shyamalan,6.725,71.50999999999999
397,the 5th wave,2016,pg-13,science fiction,j blakeson,4.025,71.50999999999999
398,into the storm,2014,pg-13,thriller,steven quale,4.6,71.50999999999999
399,nine months,1995,pg-13,romance,chris columbus,4.65,71.50999999999999
400,how to lose a guy in 10 days,2003,pg-13,romance,donald petrie,5.5,71.50999999999999
401,the peanuts movie,2015,g,comedy,steve martino,7.324999999999999,71.5
402,disclosure,1994,r,crime,barry levinson,6.05,71.5
