Rank,Title,Year,Age_Rating,Genre,Director,Average_Rating,Similarity_Score
767,the time travelers wife,2009,pg-13,fantasy,robert schwentke,5.625,72.49
768,the score,2001,r,mystery,frank oz,7.0,72.49
769,annabelle comes home,2019,r,horror,gary dauberman,6.0,72.48
770,moonraker,1979,pg,thriller,lewis gilbert,6.225,72.48
771,the twilight saga breaking dawn   part 2,2012,pg-13,drama,bill condon,5.55,72.48
772,deliver us from evil,2014,r,horror,scott derrickson,4.85,72.48
773,hope floats,1998,pg-13,romance,forest whitaker,4.825,72.48
774,chappie,2015,r,crime,neill blomkamp,5.225,72.48
775,predators,2010,r,science fiction,nimród antal,6.075,72.48
776,step up 3d,2010,pg-13,romance,jon m. chu,5.55,72.48
777,dantes peak,1997,pg-13,drama,roger donaldson,4.875,72.48
778,pretty woman,1990,r,comedy,garry marshall,6.525,72.47
779,octopussy,1983,pg,thriller,john glen,5.825,72.46000000000001
780,sleepers,1996,r,thriller,barry levinson,6.825,72.46000000000001
781,gods and generals,2003,pg-13,war,ron maxwell,4.075,72.45
782,the boxtrolls,2014,pg,fantasy,"graham annable, anthony stacchi",6.85,72.44
783,star wars episode i   the phantom menace,1999,pg,science fiction,george lucas,5.85,72.44
784,the grudge 2,2006,pg-13,horror,takashi shimizu,3.775,72.44
785,the meg,2018,pg-13,action,jon turteltaub,5.325,72.43
786,devotion,2022,pg-13,war,j.d. dillard,7.1,72.43
787,the heat,2013,r,crime,paul feig,6.425,72.43
788,pitch perfect 2,2015,pg-13,music,elizabeth banks,6.55,72.42
789,terminator 3 rise of the machines,2003,r,thriller,jonathan mostow,6.525,72.42
790,guardians of the galaxy vol 3,2023,pg-13,science fiction,james gunn,7.625,72.42
791,underwater,2020,pg-13,horror,william eubank,5.45,72.41
792,stigmata,1999,r,horror,rupert wainwright,4.375,72.41
793,back to the future part iii,1990,pg,comedy,robert zemeckis,7.125,72.39999999999999
794,top gun maverick,2022,pg-13,drama,joseph kosinski,8.45,72.39
795,uss indianapolis men of courage,2016,r,war,mario van peebles,4.0,72.39
796,grown ups,2010,pg-13,comedy,dennis dugan,4.1,72.38
797,tron legacy,2010,pg,science fiction,joseph kosinski,5.825,72.38
798,savages,2012,r,crime,oliver stone,5.925000000000001,72.38
799,harts war,2002,r,war,gregory hoblit,5.9,72.37
800,sister act,1992,pg,music,emile ardolino,6.425,72.37
801,friday the 13th,2009,r,horror,marcus nispel,4.325,72.37
802,bad santa 2,2016,r,mystery,mark waters,4.275,72.37
803,the fast and the furious,2001,pg-13,crime,rob cohen,6.275,72.36
804,rock dog,2016,pg,music,ash brannon,5.4,72.36
805,dangerous minds,1995,r,drama,john n. smith,5.4,72.36
806,couples retreat,2009,pg-13,romance,peter billingsley,3.6,72.35000000000001
807,nights in rodanthe,2008,pg-13,romance,george c. wolfe,4.8,72.35000000000001
808,fast  furious presents hobbs  shaw,2019,pg-13,comedy,david leitch,6.525,72.34
809,final destination 3,2006,r,mystery,james wong,5.074999999999999,72.34
810,king kong,2005,pg-13,drama,peter jackson,7.65,72.33000000000001
