Rank,Title,Year,Age_Rating,Genre,Director,Average_Rating,Similarity_Score
345,race to witch mountain,2009,pg,science fiction,andy fickman,5.225,74.55000000000001
346,stepmom,1998,pg-13,romance,chris columbus,6.025,74.55000000000001
347,zombieland double tap,2019,r,horror,ruben fleischer,6.475,74.53999999999999
348,unstoppable,2010,pg-13,thriller,tony scott,7.25,74.53999999999999
349,london has fallen,2016,r,thriller,babak najafi,4.425,74.53999999999999
350,timecop,1994,r,crime,peter hyams,5.225,74.53999999999999
351,the new mutants,2020,pg-13,horror,josh boone,4.824999999999999,74.53999999999999
352,the girl with the dragon tattoo,2011,r,mystery,david fincher,7.725,74.53999999999999
353,halloween resurrection,2002,r,horror,rick rosenthal,2.85,74.53999999999999
354,the longest yard,2005,pg-13,comedy,peter segal,5.275,74.53
355,the invisible,2007,pg-13,mystery,david s. goyer,4.5,74.53
356,open season,2006,pg,comedy,"roger allers, jill culton, anthony stacchi",5.5,74.53
357,red,2010,pg-13,comedy,robert schwentke,6.725,74.53
358,oceans eleven,2001,pg-13,thriller,steven soderbergh,7.700000000000001,74.53
359,miss congeniality,2000,pg-13,comedy,donald petrie,5.3,74.53
360,enemy at the gates,2001,r,war,jean-jacques annaud,6.4,74.53
361,elysium,2013,r,action,neill blomkamp,6.4,74.52
362,event horizon,1997,r,mystery,paul w.s. anderson,5.025,74.52
363,hes just not that into you,2009,pg-13,comedy,ken kwapis,5.475,74.52
364,allied,2016,r,thriller,robert zemeckis,6.475,74.52
365,the boxtrolls,2014,pg,fantasy,"graham annable, anthony stacchi",6.85,74.52
366,big mommas house,2000,pg-13,comedy,raja gosnell,4.325,74.52
367,brick mansions,2014,pg-13,crime,camille delamarre,4.5,74.52
368,ghost in the shell,2017,pg-13,drama,rupert sanders,5.475,74.51
369,the predator,2018,r,science fiction,shane black,4.775,74.51
370,you me and dupree,2006,pg-13,romance,"anthony russo, joe russo",4.449999999999999,74.51
371,untraceable,2008,r,horror,gregory hoblit,4.300000000000001,74.5
372,wreck it ralph,2012,pg,comedy,rich moore,7.725,74.5
373,the mortal instruments city of bones,2013,pg-13,mystery,harald zwart,4.2,74.5
374,atlantis the lost empire,2001,pg,science fiction,"gary trousdale, kirk wise",5.975,74.5
375,somethings gotta give,2003,pg-13,drama,nancy meyers,6.775,74.5
376,iron man,2008,pg-13,action,jon favreau,8.2,74.5
377,exit wounds,2001,r,crime,andrzej bartkowiak,4.675,74.5
378,the siege,1998,r,thriller,edward zwick,5.6,74.5
379,batman begins,2005,pg-13,action,christopher nolan,7.85,74.49
380,unfaithful,2002,r,thriller,adrian lyne,6.175,74.49
381,eyes wide shut,1999,r,thriller,stanley kubrick,7.35,74.49
382,we were soldiers,2002,r,war,randall wallace,6.775,74.49
383,1941,1979,pg,war,steven spielberg,4.725,74.49
384,the expendables,2010,r,thriller,sylvester stallone,5.325,74.49
385,this means war,2012,pg-13,romance,mcg,4.525,74.48
386,big mommas like father like son,2011,pg-13,crime,john whitesell,3.175,74.48
387,the mexican,2001,r,crime,gore verbinski,5.425,74.48
388,resident evil extinction,2007,r,science fiction,russell mulcahy,4.75,74.48
389,red cliff,2008,r,drama,john woo,7.65,74.47
390,lord of war,2005,r,crime,andrew niccol,6.825,74.47
391,in time,2011,pg-13,thriller,andrew niccol,5.65,74.46000000000001
392,spy kids 3 d game over,2003,pg,science fiction,robert rodriguez,4.925,74.45
393,the lego batman movie,2017,pg,action,chris mckay,7.725,74.45
