Rank,Title,Year,Age_Rating,Genre,Director,Average_Rating,Similarity_Score
739,resident evil apocalypse,2004,r,science fiction,alexander witt,4.45,0.6683
740,insidious the red door,2023,pg-13,thriller,patrick wilson,5.15,0.6682
741,doctor dolittle,1967,g,music,richard fleischer,4.65,0.6679
742,fast x,2023,pg-13,crime,louis leterrier,6.0,0.6679
743,ghost,1990,pg-13,thriller,jerry zucker,6.75,0.6675
744,in time,2011,pg-13,thriller,andrew niccol,5.65,0.6675
745,straight outta compton,2015,r,drama,f. gary gray,7.925,0.6673
746,the towering inferno,1974,pg,thriller,john guillermin,6.925,0.6672
747,the incredible hulk,2008,pg-13,action,louis leterrier,6.425,0.6672
748,sweet charity,1969,g,music,bob fosse,6.8,0.667
749,a chorus line,1985,pg-13,music,richard attenborough,5.475,0.6668
750,as good as it gets,1997,pg-13,drama,james l. brooks,7.6,0.6667
751,alien resurrection,1997,r,horror,jean-pierre jeunet,6.05,0.6665
752,cars,2006,g,comedy,"john lasseter, joe ranft",7.225,0.6664
753,shall we dance,2004,pg-13,romance,peter chelsom,5.5,0.6663
754,beyond the sea,2004,pg-13,music,kevin spacey,5.475,0.6663
755,aline,2020,pg-13,music,valérie lemercier,5.975,0.6662
756,friday the 13th,2009,r,horror,marcus nispel,4.325,0.6661
757,the time machine,2002,pg-13,science fiction,simon wells,4.825,0.666
758,pokémon the first movie,1998,g,fantasy,kunihiko yuyama,4.575,0.6657
759,where eagles dare,1968,pg,war,brian g. hutton,7.45,0.6655
760,volcano,1997,pg-13,science fiction,mick jackson,5.475,0.6653
761,death race,2008,r,science fiction,paul w.s. anderson,5.275,0.6653
762,the santa clause 2,2002,g,fantasy,michael lembeck,5.5,0.6653
763,the hustle,2019,pg-13,crime,chris addison,4.125,0.6652
764,the proposal,2009,pg-13,drama,anne fletcher,5.825,0.665
765,marley  me,2008,pg,comedy,david frankel,6.475,0.6649
766,mission impossible,1996,pg-13,thriller,brian de palma,6.65,0.6647
767,creed ii,2018,pg-13,drama,steven caple jr.,7.25,0.6647
768,primal fear,1996,r,mystery,gregory hoblit,6.95,0.6646
769,cars 2,2011,g,comedy,"john lasseter, bradford lewis",5.475,0.6646
770,water for elephants,2011,pg-13,romance,francis lawrence,6.25,0.6645
771,evolution,2001,pg-13,science fiction,ivan reitman,5.15,0.6645
772,born on the fourth of july,1989,r,drama,oliver stone,7.525,0.6645
773,woodstock,1970,r,music,michael wadleigh,8.775,0.6643
774,indiana jones and the last crusade,1989,pg-13,action,steven spielberg,7.75,0.6643
775,the greatest showman,2017,pg,drama,michael gracey,6.45,0.6641
776,gods and generals,2003,pg-13,war,ron maxwell,4.075,0.6641
777,notting hill,1999,pg-13,comedy,roger michell,7.425,0.664
778,the wolfman,2010,r,thriller,joe johnston,4.8,0.664
779,the score,2001,r,mystery,frank oz,7.0,0.6639
780,the haunted mansion,2003,pg,fantasy,rob minkoff,3.925,0.6639
781,wanted,2008,r,action,timur bekmambetov,6.675,0.6638
782,cliffhanger,1993,r,action,renny harlin,6.45,0.6638
783,spartacus,1960,pg-13,war,"stanley kubrick, anthony mann",8.375,0.6638
784,madea goes to jail,2009,pg-13,crime,tyler perry,4.75,0.6637
785,take the lead,2006,pg-13,music,liz friedlander,5.85,0.6636
