Rank,Title,Year,Age_Rating,Genre,Director,Average_Rating,Similarity_Score
1075,thor the dark world,2013,pg-13,action,alan taylor,6.325,71.6
1076,the day the earth stood still,2008,pg-13,thriller,scott derrickson,4.3,71.6
1077,shaun of the dead,2004,r,horror,edgar wright,8.05,71.6
1078,the beach,2000,r,romance,danny boyle,4.875,71.6
1079,the invitation,2022,pg-13,horror,jessica m. thompson,4.75,71.59
1080,django unchained,2012,r,drama,quentin tarantino,8.375,71.58
1081,the last exorcism,2010,pg-13,mystery,daniel stamm,6.2,71.58
1082,indiana jones and the kingdom of the crystal skull,2008,pg-13,action,steven spielberg,6.6,71.58
1083,the girl who played with fire,2009,r,mystery,daniel alfredson,6.9,71.57
1084,wonder park,2019,pg,fantasy,dylan brown,5.1,71.57
1085,pulp fiction,1994,r,crime,quentin tarantino,9.025,71.56
1086,zulu,1964,nr,war,cy endfield,8.125,71.55
1087,ghost,1990,pg-13,thriller,jerry zucker,6.75,71.55
1088,zero dark thirty,2012,r,thriller,kathryn bigelow,8.25,71.54
1089,star wars episode ii   attack of the clones,2002,pg,action,george lucas,6.275,71.54
1090,the reaping,2007,r,horror,stephen hopkins,3.925,71.53
1091,the generals daughter,1999,r,thriller,simon west,4.9,71.52
1092,black widow,2021,pg-13,science fiction,cate shortland,7.125,71.52
1093,zodiac,2007,r,mystery,david fincher,8.025,71.5
1094,spirit stallion of the cimarron,2002,g,romance,"kelly asbury, lorna cook",6.75,71.49
1095,superhero movie,2008,pg-13,science fiction,craig mazin,3.725,71.49
1096,2001 a space odyssey,1968,g,mystery,stanley kubrick,8.5,71.47
1097,the social network,2010,pg-13,drama,david fincher,8.575,71.46000000000001
1098,the 12th man,2017,nr,war,harald zwart,7.5,71.46000000000001
1099,who framed roger rabbit,1988,pg,fantasy,robert zemeckis,8.275,71.45
1100,the tourist,2010,pg-13,thriller,florian henckel von donnersmarck,4.475,71.44
1101,the omen,2006,r,mystery,john moore,4.5,71.44
